"ranking","Chinese.origin.data","Yandex.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Yandex.translated.data."
20,"一颗星给丹姐；一颗星给片尾公益广告。","A star to Dan sister; a star to credits social advertising.",0.222775
20,"一颗星给反讽，一颗星给演员...","A star to the irony, a star to actor...",0.2065
20,"一颗星给宋丹丹，一颗星给主题曲。","A star to the song Dan Dan, a star to the theme song.",0.28887
20,"一颗星给最后装模作样的结尾，一颗星给宋丹丹真我的演出。","A star to the last dude at the end, a star to the song Dan Dan really my gig.",0.287947
20,"一颗星给李小璐拼命挤出来的胸，一颗星给白百何（我开始以为是王珞丹）的身材，葛大爷正常发挥，冯导么。。。哎，您还是洗洗睡吧","A star to Li Xiaolu desperately squeezed out of the chest, a star to white hundred what I thought is Wang Luo Dan's stature, GE uncle normal play, he turned it on. Hey, you still wash sleep.",0.252094
20,"一颗星给电影，一颗星给璐的事业线…","A star to the movie, a star to Lu's cleavage...",0.197966
20,"一颗星给羽泉的主题曲，一颗星给时间都去哪儿了","A star to feather springs theme song, A STAR to time?",0.133955
20,"一颗星给范伟 一颗给宋丹丹～再没什么好话说了～烂爆了","A star to Fan Wei A to the song Dan Dan to nothing good words to say to rotten proof.",0.244298
20,"一颗星给范伟，一颗星给丹丹","A star to Fan Wei, a star to Dan Dan",0.282452
20,"一颗星给范伟，另一颗给冯小刚谢谢你让我那么失望。不见不散那劲儿哪儿去了","A star to the fan Wei, the other one to the Feng Xiaogang Thank you for making me so disappointed. Rain or Shine that strong?",0.1978
20,"一颗星给葛优，一颗星给王铮亮。","A star to GE, and a star to Wang Zheng Liang.",0.273077
20,"一颗星给葛优，一颗星给白百合，不能再多了","A star to GE you, a star to the white Lily, not more.",0.250537
20,"一颗星给葛大爷，一颗星给呼噜声。不能再多了。","A star to GE uncle, a star to purr. Can no longer much.",0.20151
20,"一颗星给葛大爷，一颗星给大自然。over.","A star to GE uncle, a star to nature. over.",0.20286
20,"一颗星给葛大爷，一颗星给宋大妈。这个片子卖座不光冯小刚生气，我也生气，不管怎么说1942冯小刚用心拍了，这部片子简直就是一个垃圾，但是垃圾居然就有人看！此外，白百合再一次让我看见了黄小仙儿，而且我终于理解为什么黄小仙儿前男友一定要甩了她，因为她真是看着就招人烦！","A star to GE uncle, a star to song aunt to. This film hit not only Feng Xiaogang angry, I also angry, anyway, back to 1942, Feng Xiaogang heart beat, this film is simply a garbage, but the garbage is actually someone to see! In addition, white Lily once again I saw the yellow little fairy daughter, and I finally understood why Huang Xiao Xian daughter ex-boyfriend be sure to dump her, because she really looked to recruit people annoying!",0.240353
20,"一颗星给葛大爷，一颗星给甲方乙方","A star to GE uncle, a star to party a party B",0.284818
20,"一颗星给葛大爷，一颗星给范大爷，本想给曾经梦情小璐一颗星(你懂的)，但整片真不值三个星。","A star to GE uncle, a star to the Van uncle, wanted to give ever dream things small Lu a star(you know), but the whole piece is really worth three stars.",0.241056
20,"一颗星给葛大爷，另一颗星为了成全别人，恶心自己。。。","A star to GE uncle, another Star for the sake of others, nausea yourself.... and",0.282753
20,"一颗星给蓝天白云，一颗星给没有正形的葛优还有脸依然大的范伟。故事结构照搬甲方乙方但是不同的是笑点没有了变成时事串烧了。没有了王朔本子的妙语连珠剩下的只是硬到不能再硬的笑点，看着宋丹丹梁天这两张熟悉的老脸都一点笑意没有。这是刚子报复我们不欣赏1942吧，才能整这么一部什么都没有的电影。","A star to the blue sky, a star gave no positive shape of the GE and the face is still big van Wei. Story structure replicating the Party a party B but different is a laugh not into current Affairs skewer. Not the Wang Shuo Book of quips and the rest just hard to be hard to laugh, looked at song Dandan Liang day these two are familiar with the old head are a little smile no. This is just a sub-retaliation we do not appreciate 1942., to be whole so a nothing movie.",0.0873941
20,"一颗星给郑恺，一颗星给取景，不能再多了。。","A star to Zheng Kai, a star to the framing, not more.",0.251695
20,"三段分成微电影是不是更好？第一段那个骂老百姓是不是有点狠了？最后一段，那是不是环保片？","The third segment is divided into the micro-film is not better? The first paragraph of that scolding people is not a little ruthless? The last paragraph, that was not environmental?",0.273041
20,"三段故事毫无逻辑关联，为讽刺而讽刺，却又如隔靴搔痒，不得要领。最后来个环保公益广告，真是应了公司口号，成全自己，恶心别人。你是一部电影啊不是环保公益片！被人骂，真不冤。","Three sections of the story have no logic associated, for the irony and the ironic, yet as nowhere near, to no avail. Finally to a environmental charity advertising, really should be a company slogan, to fulfill themselves, disgusting to others. You is a movie. not a environmental charity. To be scolded, really not injustice.",0.287306
20,"不值得去电影院看啊，毁了我的跨年之夜！！不伦不类的！！！！","Not worth it to go to the cinema to see Ah, ruined my New Year's Eve a night of it!!!! Nondescript！！！！",0.296215
20,"不多说了，身边看过的没有说好的，果然是商业片么，各种内置广告。最后那个结尾到现在也没明白为什么要那样加→_→","Not much to say, looking around over the not a deal, it really is a commercial piece?, a variety of built-in advertising. Finally, the ending still didn't understand why as added→_→",0.290743
20,"不明所以。尤其是最后那个道歉跟前面有半毛钱关系吗？","Unknown so. Especially that last apology in front of the surface of a half-dime relationship?",0.299387
20,"不是说要帮华谊拍一部赚钱的电影么？？？！！！骗人！！！","Not to say that you want to help Huayi to make a profitable movie? that?? it!!! Lie it!!!",0.185173
20,"东拼西凑。试图表达高雅。只是没诚意。","A patchwork of. Trying to Express elegance. I just don't have sincerity.",0.233823
20,"两星给演员。一星给ed。剧情扣掉一星。","Two stars to the actor. A star to ed. The plot snaps out a star.",0.298719
20,"丫巴里是三个小品加一个公益广告 然后全程戳不到笑点 难道是因为一个人看所以没效果么","Ah Barry is three pieces plus a public service announcement and then the entire stamp is less than to laugh is it because a person look at so no effect?",0.241344
20,"为了葛优和冯导去的。。。。但是。。。尼玛你拍的比十年前甲方乙方差多了好么？故事老套，就是照着甲方乙方的模子画了个瓢！故事情节都类似。。。但是这里不接地气儿啊！那个导演的梦想就是冯导的梦想么？活生生的例子啊！好好拍喜剧呗。。。非要弄什么道歉。。大道理观众都懂的吧？用的着你贺岁提示？","In order to GE you and Feng turned to go.。。。。 But ... You fucking shoot than a decade ago party A to party b the difference much better? Story old-fashioned, that is, according to party a party b of the mold to draw up a scoop it! The storyline is similar to. But there is not ground gas children! The Director of the dream is von Guide to dream? A living example of the Ah! A good shot of Comedy. and... I have to get what an apology is.. Generally the audience know? With your new year tips?",0.188914
20,"为什么大家都演的这么假这么硬...整容的小璐真是...","Why is everyone acting so fake so hard...plastic surgery Xiaolu's...",0.215425
20,"为什么这个电影评价这么垃圾，还有那么多人去看呢？女同事要去看，不能总是依我呀，所以就去了。结果上周五准备看8：15的结果满场，9点也满场，这些人到底是怎么了？.大家是被烂片雷的习惯了吗.不能理解","Why this movie rating is so rubbish, there are so many people to see? Lesbian things to go see, can not always follow me, so we went. Results on Friday be prepared to see at 8: 15 the results of the Full Field, 9 points, also over the field, these people in the end is what?. Everyone is a rotten piece of Ray's habits?. Can't understand",0.135385
20,"乍一看是盛宴 仔细一看是卤煮 尝一口 没搁盐 回味就免了吧。。。。","At first glance is a feast of a closer look is a halogen cook try one not resting on the salt aftertaste on a free.。。。。",0.256521
20,"乱七八糟的装逼片。老冯你要这么玩那就是要自掘坟墓了。","Mess loaded to force sheet. The old Feng you to so play that is to be digging your own grave..",0.272417
20,"今年看的最后一部电影竟然这么烂！！一点诚意都没有。。。。就是歌2013吐槽片。。。。。","This year saw the last movie turned out so rotten it!!!! A little sincerity are not。。。。 Is song 2013 tucao piece。。。。。",0.176512
20,"从甲方乙方到大腕到私人定制，冯小刚你是有多喜欢实（hu）现（you）梦（zhi）想（fu）啊～4个微电影和1个披着环保外衣的微博段子再加点物质、美色、外景作调料就能构成一部贺岁档电影骗钱了？另外，您对纳粹党卫军那说不清道不明的特殊感情是怎么回事儿？PS：徐峥啥时候再来一部贺岁片呀～","From party A to party B to the biggest names to private custom, Feng Xiaogang you are a lot like real - （hu）now（you dream zhi want to（fu）Ah ~ 4 micro-movie, and 1 wore a green coat the Twitter piece a little more substance, beauty, outer view as spices can constitute a portion of the New Year stalls movie get money? In addition, your SS that don't know know don't the special feelings of what is going on? PS: Xu Zheng what time again to a portion of the surreal. to",0.26703
20,"他..他他他他他也是自己人？？？","He..He He He He He is also one of us it???",0.250434
20,"以后这样低评论的片儿  我就不看了吧  有没有意见？？","After such a low comment on the piece I do not see? have no opinion? it?",0.196428
20,"作为一部喜剧感觉完全没笑点哪...","As a Comedy feels totally didn't laugh...?",0.286528
20,"你以为你以为的那个刚刚就是那个刚刚蛮？！事实证明：刚刚看起来好像还是那个刚刚，其实已经不是之前的刚刚咯…","You think you thought of that just that's just just that?! It turns out: just looks like it was just, in fact, already not before the just slightly...",0.123207
20,"你这是在搂钱对吧，1942的认真劲呢？喜剧你都要吃老本了？拍不了就不拍行不行？","You this is in 搂钱 right, 1942 seriously Jin? Comedy you are going to rest on our laurels? Can't make it not shoot?",0.264433
20,"便是没想到1942对冯小刚刺激这么大……","Is didn't think 1942 to Feng Xiaogang stimulation so much......",0.258351
20,"俩女演员一个比一个恶心……","Both actress a than a nausea......",0.288772
20,"做人还能这么不要脸，这和甲方乙方有区别吗？","A man also can be so shameless, this and party A and party B have a difference?",0.134632
20,"全片看完就笑过45次吧，而且是笑完就忘的那种，作为冯葛粉说实话挺失望的，穷人版的甲方乙方 最后的说教恶心坏我了","The whole piece after reading just laugh over 45 times now, and laugh just to forget that, as von Gefen to be honest quite disappointed, poor edition of the Party a party B final sermons nausea, bad me.",0.275363
20,"全程无笑点………","Full no punchline.........",0.28433
20,"关环保什么事呢？？？？？？？？？？？？？？","Off green what is it?？？？？？？？？？？？？？？",0.0748337
20,"其实冯小刚几斤几两全国人民其实都知道，就是拍出个富春山居图2也在情理之中，但拿甲方乙方这么优秀的亲生儿子开涮可不得好好道歉吗","In fact, Feng Xiaogang a few pounds a few endowment people actually know is to shoot a fuchun mountains 2 Also in the sense, but take the Party a party B so excellent a son baited don't gotta apologize?",0.202946
20,"其实只想给两星半，不过喜剧很难得，而且小刚炮拍点。但是就因为是小刚拍的，这效果只能给两星。炒冷饭，甲方乙方的姐妹篇。","In fact, only wanted to give two stars and a half, but Comedy is hard, but small just cannon shoot point. But just because it is small and just shoot, this effect can only give two stars. Same old stuff, Party a party B's sister.",0.298934
20,"典型的复制甲方乙方，还没甲方乙方有意思。","A typical copy of party A to party B, Party a party B interesting.",0.169456
20,"典型的甲方乙方2，比起前作差很多","A typical Party a party B 2, than before a lot worse",0.258176
20,"冗长。。。冗长的。。。一堆矫情的人儿。。。","Lengthy for. Lengthy. A bunch of hypocritical people.... and",0.284801
20,"冯导 在youtube上看的你骂我sb吧！但是拿跟班会短片一样的小视频赚我们钱 你能也跟我也道个歉吗","Von guide on youtube to see you call me sb! But to get Valet will be a short film like video to earn our money, you can also talk to me also apologize?",0.295025
20,"冯导什么时候开始导戏这么浮夸这么流于表面么？","Von pilot when to start the guide game so pompous so superficial?",0.242847
20,"冯导你究竟想要说什么？王编剧你剧本写的这么好，你儿子知道吗？","Von guide you exactly want to say? The king screenplay you screenplay to write so well, your son know?",0.237348
20,"冯导你这么环保，你自己知道吗？","Von guide you so eco-friendly, you know?",0.28806
20,"冯导居然能拍出这么烂的电影？再这么下去真离晚节不保不远了。说这是小品拼凑的，都是给面子了。实际就是一幻灯片，还是那种胡拼乱凑的。","Von the Guide to actually be able to make such a bad movie? Then so go on really off nights Festival. not far off. To say this is a Comedy piece, are to face. Is actually a slideshow, or the kind of Hu spell Chaos Minato.",0.291767
20,"冯导能不拿十几年前的观众要求今天的观众吗。一个成名的导演拍这种东西。还好意思说五年后经典。。。诶。失望。","Von the guide could not take more than a dozen years ago, the audience requested the audience today? A famous Director to shoot this thing. The nerve to say after five years classic it. Eh. Disappointed.",0.278918
20,"冯导这是黔驴技穷江郎才尽了吧。炒冷饭故事也没意思看得我想睡觉。跟甲方乙方比，实在一个天一个地。","Von Guide This is the ideas run out of ideas. A rehash of a story is also boring to see I want to sleep. With Party a party B than a, There is really one day one.",0.256742
20,"冯小刚什么时候变的这么矫情了…想拍成啥？教科书么？","Feng Xiaogang what time become so hypocritical...want to shoot into? Textbooks?",0.199453
20,"冯小刚就是为了证明给华谊看爷就随便整整也能帮你们把钱赚了所以你们这帮傻逼赶紧投资给爷拍点高雅的片子。连喜剧都弄成这样指导春晚是给冯老师造成了多大压力。还是因为插曲宋丹丹的最后一场戏还行，偶有笑点，大约也是因为我笑点很奇怪。。。","Feng Xiaogang is to prove to Huayi to see ye just a whole can also help you to put the money earned so you guys fucking hurry to invest to master shot point of elegance of the film. Even Comedy has to get to such a guidance of the Spring Festival Gala is to Feng teacher has caused much stress. Or because the episode song Dan Dan in the last scene, even a humor, about is also because I laugh very strange.... and",0.280956
20,"冯小刚投机分子无误，诚意在哪里？相比起来，张国师也就不那么差劲了。白百合越看越顺眼了...","Feng Xiaogang opportunists is correct, faith? Compared to them, Zhang country teacher also not so bad. The white Lily, the more look more pleasing to the eye...",0.293476
20,"冯小刚现在就这水平了？想讲的很多，但又全都不在点子上，有点不明所以不伦不类的感觉，就像一只拉紧了弦的箭，结果射出去的时候力度又不够，演员除了葛优和宋丹丹，其他人也就是凑个数，也许是我真俗，看不懂导演想表达的高雅意图，但真的没觉得哪好看。","Feng Xiaogang is now on this level? Want to tell a lot, but all is not the point, a little unknown so a nondescript feeling, like a taut strings arrows, the result is emitted to a time when strength and not enough, the actor in addition to GE and song Dandan, the other person is getting a number, maybe I'm really vulgar, do not understand the Director wanted to Express the elegance of intentions, but really didn't think what good-looking.",0.243736
