"ranking","Chinese.origin.data","Baidu.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Baidu.translated.data."
10,"fxxk","Fxxk",1
10,"haonimei","Haonimei",1
10,"hehe","Hehe",1
10,"hehehe","Hehehe",1
10,"laji","Laji",1
10,"lanlanlan","Lanlanlan",1
10,"lansile","Lansile",1
10,"nmsl","Nmsl",1
10,"ppt","Ppt",1
10,"shajibapolan","Shajibapolan",1
10,"shuoshenmaasd","Shuoshenmaasd",1
10,"ugly","Ugly",1
10,"wqnmlgb","Wqnmlgb",1
10,"一年不如一年，看来这些导演都是吃以前的饭。从老谋子到现在的冯导，老谋子现在不敢拍电影了！哎，估计明年冯导也不敢拍了！宣传不错，但是太烂了，浪费50块！","One year is not as good as one year. It seems that these directors are all eating before. From the old to the present Pingdao, still now dare not film! Well, it is estimated that Feng den will not be able to shoot next year. Good publicity, but sucks, waste 50!",0.778729
10,"一开始在序幕的时候看到王朔的名字还是挺抱希望的，结果还是被剧情郁闷到了，没有任何意义的私人定制，宋丹丹那段莫名其妙的煽情，以及故事想反讽社会现状却又变得乱七八糟的还有最后那段道歉。。整部剧看着就像是一锅乱炖的菜，杂七杂八全部丢在一块，说笑点吧，其实还真没什么笑点，失望","First name Wang Shuo saw in the prologue when still very hopeful, the result was depressed to the plot, private custom does not have any significance, Song Dandan was rather baffling sensational, and irony stories to social status would be out of order and the last period of apology.. The whole drama is like looking at the pot Luandun mixed dishes, all lost in a joking point, in fact, is really not what bursting point, disappointed",0.796331
10,"一开始是点很奇怪的搞笑片，后来变成了煽情做作的大自然纪录片。。不过和girl们看烂片还对很欢乐～而且一想到明天又能吃妞妞薯条，幸福感就爆棚啦～","At first it was a strange funny movie, and later became a natural documentary of incendiary and affectation. But they look bad and girl also very happy ~ but tomorrow can eat French fries is bursting with happiness girl,.",0.739356
10,"一开始还是笑的，后面越来越笑不出来。就像春晚上面的小品，看着演员各种逗你笑，但是就是半点都笑不出来。护舒宝最烂的片子，你要还人情还账别TM那观众开玩笑。片子没诚意，而且连羞耻心都没了","At the beginning, it was still smiling, and the back was more and more unable to laugh. It's like the little pieces on the Spring Festival Gala, watching the actors make you laugh, but they just don't laugh at all. Whisper the worst movie, you should also pay the audience don't favor TM joke. The film is insincere and not even ashamed.",0.723089
10,"一星是给宋丹丹和范伟的，宋丹丹那段结尾的插曲不错，有共鸣！具体有多差就不说了。说不完，就是三个小品加一个环保公益广告！","One star is for Song Dandan and Wei Fan. The interlude at the end of Song Dandan is good, and it resonates! The specific difference is not to be said. Not to finish, is three small items plus an environmental public service advertising!",0.748913
10,"一星给宋丹丹，最后那里演的真好~~","One star for Song Dandan, and it's good to be there in the end.",0.726236
10,"一星给宋丹丹在胡同里的背影，不能再多了。那些黑小时代的都是些什么心态，年度最烂果然在十二月压轴出现了。","The back of one star to Song Dandan in the Hutong can't be much more. What is the mindset of those little black times, and the worst of the year has come up in the December.",0.744979
10,"一点也不好看，这种也能作为电影，乱七八糟，不忍直视，最后莫名其妙想找存在感，想升华，不能更奇怪了。。。。","It doesn't look good at all. It can also be regarded as a movie. It can't bear to look at it in a mess. At last, it is puzzled to find the sense of existence.",0.807608
10,"一直没去影院看。因为大家都说不好。前几天出高清。看了一会。咱就不玩文艺范儿了。是真尼玛不好啊。。什么破比玩意。","Never go to the cinema. Because everyone says it's not good. High definition in the last few days. Look at it for a while. I don't play with literature and art. Is really not good fuck.. What breaks the game.",0.916063
10,"一般","commonly",1
10,"一部我以为很好笑，看的时候很想笑，但是却笑不出来的电影。这些人的思想都老了，追不上时代。还有说教式的对白让人很难受。","I thought I was funny, and I wanted to laugh when I saw it, but I couldn't laugh. These people are old and can't catch up with the times. There is a preaching dialogue that is very difficult.",0.788772
10,"一部炒剩饭的作品，我还以为我在看甲方乙方。冯大导已经自大到以为自嘲就能够获得观众反向认可的程度了，有钱人自嘲只剩下钱我们会理解，但你冯导还没有拍出牛逼到可以让你自嘲自己最俗我们还能理解你的雅的作品。","I thought I was looking at Party B, one of the works of fried leftovers. Feng Da Dao has been arrogant to self deprecating. He can get the audience's opposite approval degree. The rich people laugh at themselves and only have money left. We will understand, but you have not yet done a good job of Feng Dao, who can make you laugh at yourself the most vulgar, and we can understand your elegant works.",0.840372
10,"下半场如坐针毡，那些号称看出情怀，解读各种深意的，赶紧绝交吧。按这种思路，任何电影都能加个公益结尾，施瓦辛格搞定恐怖分子后，来个宣传防艾，霍比特人融了魔戒后来个拯救文化遗产，地心引力末尾普及保护臭氧层，阿凡达后面加上节约地球资源，太他妈深刻了！蠢货导演们，戏就该这么拍，学着点！","The second half of those seen as pins and needles, feelings, understand various meaning, maybe quickly. In this way, any movies can add a public end, Schwarzenegger fix the terrorists, to promote AIDS, then a hobbit melt ring save the cultural heritage of gravity at the end of popularization of the protection of the ozone layer, behind Afanda and saving the earth's resources, his mother too deep! Stupid directors, the play is to do this, learn a bit!",0.754774
10,"不伦不类的","nondescript",1
10,"不公平啊，老美过节看霍比特人，我们就只能看这种东西啊。你可以说老美的东西空洞模式化只有视觉冲击力，但是至少人家用心做了。中国的这种电影几乎什么都没有，也好意思拿出来骗钱？冯导真应该留着这片在春节晚会时段再播一遍，让我们把年夜饭都吐出来。我想看霍比特人。。。为什么不同步。。。为什么","Not fair ah, old beauty feast see hobbits, we can only see this kind of thing. You can say that the empty pattern of old beauty is only visual impact, but at least people have done it with heart. This movie Chinese almost what are not, mean or out of money? Feng Daozhen should keep the sow again in Spring Festival period again, let us put the dinner on New Year's Eve spit out. I want to see the Hobbit... Why not synchronize. Why",0.758126
10,"不好好琢磨怎么拍好电影，只顾上烂片赚俏皮钱，观众不是傻子，能分出好坏，只想说好自为之吧","Don't think about how to make a good movie, only to earn money on the bad one, the audience is not a fool, can separate is good or bad, just want to say to yourself",0.718061
10,"不好意思，笑点及其无聊，想表达的东西是好的可是呈现的方式太烂，就像你有拯救世界的英雄心却没有超人的英雄身一样，牵强的很，让我无数次无聊的冷笑，除了宋丹丹那个我有点小感动，其他的真没啥，一直都在玩手机，估计是本电影所达到的境界是我等俗人无法抵达和理解的","Feel shy, bursting point and boring, want to express what is good but bad manner, like you have a hero to save the world heart but no heroes like Superman, let me very far fetched, countless boring sneer, in addition to Song Dandan that I was a little touched, the other was really nothing, always are playing mobile phone, the film is estimated to reach the realm of the laity is unable to reach and understanding",0.799631
10,"不好看","Disgraceful",1
10,"不好看 冯小刚还准你说不好看 什么玩意","It's not good for Feng Xiaogang to say you don't look good.",0.765982
10,"不好看 莫名其妙 最后环保那段更是无聊","Not good - looking, the end of the environment is more boring",0.730353
10,"不好看，很烂，和无极差不多。","Not good, very bad, and the same.",0.774782
10,"不好看，我都没看完，乱七八糟","It's not good. I haven't finished reading it. It's a mess.",0.715271
10,"不存在好坏 说真心话我没看懂","No good or bad, I didn't understand it.",0.729595
10,"不实在","Unrealistic",1
10,"不想看这个，想看的没票了，只好看这个。以下是评价：.能看出是大片，除了制作精良，没一点好，绝对不值得去影院看。完了，有时间再添加。","Do not want to see this, want to see no ticket, have to look at this. The following is the evaluation:. It can be seen that it is a big movie, in addition to good production, no good, absolutely not worth going to the cinema. It's finished, and there's time to add.",0.756654
10,"不敢相信，这是王朔和冯小刚的作品，拼接的段子，无力的表达，完全get不到的笑点，好吧，其实没有笑点可言。。。导演想表达的似乎太多，却哪一点都浅尝辄止，流于形式，最终成了四不像。。。。","I can't believe this is Wang Shuo's and Feng Xiaogang's works. It's a piece of splicing. It can't express the smile that get can't reach. Okay, actually, it doesn't laugh. The director wants to express seems to be too much, but what point are tasted, a mere formality, eventually became grotesque....",0.740111
10,"不敢相信我居然看完了，不值啊！超级烂片拉低了本来就不高的国产电影水平。以后还是少看这类吧。。。。","I can't believe I've finished it. It's not worth it! Super bad low is not high level of domestic film. Let's not look at this later.",0.725193
10,"不是差，而是很差。节奏拖沓，过程混乱，让人哭笑不得。看着喜欢冯小刚、葛优的观众们尴尬的沉默着，我当时都怀疑这是冯小刚、葛优的喜剧片吗？冯小刚绑定政治，远离艺术，必将失去票房和观众的心。难道他黔驴技穷了吗？","It's not bad, it's very bad. The rhythmic procrastination, the process of confusion, makes people laugh and laugh. Looking at the embarrassing silence of the audience like Feng Xiaogang and Ge You, I was doubting that this was a comedy of Feng Xiaogang and Ge You? Feng Xiaogang is bound to politics, away from art, and will lose the heart of the box office and the audience. Does he know?",0.780166
10,"不满意演员︶︿︶","Not satisfied with the actor) ^)",0.778479
10,"不真诚，高高在上。冯小刚带着1942票房失利的拧巴，炮制一个自己高高在上的段子秀。连个故事都算不上。一个自认作品牛逼哄哄，观众没品才不会去欣赏的导演。你还是去画画吧，真的！","Not sincere, high on the top. Feng Xiaogang, with the 1942 box office lost the screwing, made a paragraph show on his own. Even a story can't be counted. An admission work regressed donghonghong, the audience did not only then not to appreciate the director. You still go to paint, really!",0.732553
10,"不知道是我们看电影品味高了还是 冯导的水平降了。像海豚湾、中国合伙人，疯狂石头这类电影。看完在心里有些心酸感动。像指环王、阿凡达、少年派，看后是视觉盛宴。  .冯导对术的追求有些走火入魔了，却忘了电影的道。 有道无术，术尚可求，有术无道，至于术。 看来人的能力就是逆水行舟，不进则退。","I do not know whether we see the high taste of the film or the level of Feng guide. Like Puerto Galera, Chinese partner, crazy stone and so on. After seeing in the heart some heart sour. Like the ring of the ring, Afanda, the young school, after seeing is a visual feast. Pingdao. Of the pursuit of some obsessed, but forget the movie channel. Youdao no surgery, surgery can have surgery, no way, as for the operation. It is the ability of riding a boat behind.",0.890245
10,"不能相信这是一部喜剧。如果你拍不出内涵，就不要强加内涵。如果你拍不出喜感，就不要乱用网上陈年过时的段子。如果你不想毁掉葛优，就别让违和的明星配戏降低档次。冯导您好，冯导再见。再也不见，妈蛋的片儿！","It can't be believed that this is a comedy. If you can't make a connotations, don't impose connotations. If you don't feel happy, don't mess with the outdated passages on the Internet. If you don't want to destroy Ge You, don't let the stars play lower grade molimen. Feng guide you, Feng guide goodbye. Not again, the mother's egg piece!",0.843219
10,"不能说烂，电影很用力，实在是太无聊了，连吐槽的力气都没有，也看不出想讲什么主题。最开心的时候是终于看完的那一刻。","Can not say rotten, the film is very hard, it is really too boring, even the strength of the slots are not, also can not see what to say about the theme. The most happy time is the end of the moment.",0.752167
10,"不苛责王朔，做个庸庸碌碌的老年人，回家含饴弄孙，其实挺好。要他卯起劲来与世界做斗争，我看着都累，相信他硬了这么多年也软了，累了。","Don't blame Wang Shuo, an ordinary elderly home, love, actually quite good. If he wanted him to struggle with the world, I was tired, believing that he had been soft and tired for so many years.",0.727454
10,"不要抱有太高期望的人去看觉得挺不错的，休闲乐趣","Don't see people with too high expectations to see that it's nice, fun.",0.84141
10,"不论这片子好坏，单凭冯小刚的态度就给零分。记得冯在一次颁奖晚会中说道：好好弄了一个1942部挣钱，随随便便弄个私人订制就赚钱。就凭他对观众的哄弄就给零分","No matter whether the film is good or bad, Feng Xiaogang's attitude will be zero. I remember Feng said in a prize giving Party: make a good 1942 department to make money, and make money as a personal order. With him to the audience to coax zero",0.824886
10,"专门申请了豆瓣账号过来给差评，  已经渣到已经境界了，是我在电影院看的最烂的电影，没有之一！真不明白为什么还能评到5.5分，分明就该评负十分！","Special application for the account of the bean account to come to a bad review, has been dregs to the realm, is the worst movie I see in the cinema, no one! I really don't understand why you can score 5.5 points, and it's good to say that.",0.79915
10,"两个字，恶俗，形容完了这部电影的观后感，看完以后感觉像不小心吃了个烂橘子，吃的时候并没有太多不适的感觉，但是回味一下觉得立意太低有点俗不耐。。。虽然是讽刺的口吻但是编剧对于官腔，色诱和土豪的描摹还是让人觉得很无趣，最后一部分突然冒出来的长段良心发现的环保的诗朗诵显得极其格格不入。","Two words, describe the vulgar, the end of the movie, I feel like accidentally eat a rotten oranges, when to eat and not much discomfort, but remember feel a bit vulgar conception is too low not high... Although it is ironic but screenwriter to seduce and jargon, people still feel depicting the nouveau riche boring, the last part of the long conscience suddenly came out that green poetry is extremely misfits.",0.842366
10,"中国人民就是心肠软啊 总觉得拍了半天得给点幸苦分 居然有5.5 高了5分左右呢","The Chinese people is the heart soft ah always feel that a half day has to be lucky enough to have 5.5 high 5 points or so high",0.738757
10,"中国影坛不要过分消费观众的信任！要俗要赤裸的求票房当真小人大家没异议，不过开头那多出来五分钟臭脚步一样的广告，算在电影时长里就极其过分，让人不禁有砸电影屏幕的冲动！幼稚无聊的剧情，单薄的人物塑造，蹩脚的环保感情诉求让人觉得虚伪又突兀！冯导这是要拿宇宙最俗奖啊！","Don't overconsume the trust of the audience in the Chinese movie world! To be naked for custom box office really villain we have no objection, but at the beginning of the extra five minutes as the advertisement is smelly feet, in the movie when Rick is very much, people can not help but have hit movie screen impulse! Naive and boring plot, thin character molding, poor environmental emotional appeal makes people feel hypocritical and abrupt! Feng guide this is to take the most popular prize in the universe!",0.900871
10,"中途恶心的想离场！搞笑程度可参考春晚小品、毁了我对冯小刚和葛优黄金搭档贺岁片的期待！不装逼还是能完完整整当个片子看的、可惜啊！","Disgust in the middle of the way! The funny degree can refer to the Spring Festival Gala, and destroy my expectations for the golden partner of Feng Xiaogang and Ge You! Do not pretend to be able to finish a complete set of films to see, unfortunately ah!",0.718412
10,"中间我睡着了将近一个多小时，直接导致脖子落枕。fuck！今年看过最烂电影没有之一。相比之下，四娘简直业界良心。起码人家全片无尿点，靠弹屏吐槽足以撑够120分钟。护舒宝炒冷饭功力实在见长，片尾的配乐诗朗诵珍是吓死人惹！","I fell asleep almost more than an hour, directly lead to neck stiffneck. Fuck! None of the worst films have been seen this year. In contrast, the four niangs are simply the conscience of the industry. At least people to the point of no urine, enough to rely on the screen Tucao brace is 120 minutes. Whisper cold power was known, ending the music poetry recitation is scary with jane!",0.765623
10,"之前看了预告觉得不错，后悔进电影院看了。。冯导江郎才尽，浪费葛大爷这么优秀的表演人才      全场笑不出声，桥段太做作了！PS痕迹太明显！","It was good to see the notice before, and regret entering the cinema. Pingdao jianglangcaijin, waste Ge uncle so excellent performers of the audience laughed out loud, too contrived plot! PS marks are too obvious!",0.741626
10,"之前看评价那么低还有些疑惑，看完才发现平均5.6的评分都太高了。说是喜剧，可我从头看到尾也没被逗笑过几次，看得不知所云。冯导接受采访时说这部片子是为了还1942高投入低票房的人情债，可您还债归还债，干嘛这样糟蹋自己的名声？想雅被人喷，想俗却小手一抖拍成了烂，自己砸自己的招牌。","Before the evaluation was so low, there were some doubts, and the average score of 5.6 was too high. That is a comedy, I start to see the tail did not laugh a few times, see the sea. Feng Dao said in an interview that the film was in order to return 1942 of the debt to the low box office, but you would pay the debt. Why do you waste your reputation? Want elegance to be sprayed by the people, think vulgar, but the small hand flapped into rotten, and smashed his own sign.",0.730959
10,"也没有太深的不好看的感触，就是一边看电影一边在手边安排点事，过一会就感觉不到电影的存在了。虽然我没骂，但也笑不出来。.最后一段诚意之作，只看出道歉的诚意，没看出电影的诚意。电影就是电影，不是演讲，得有情节！","There is not too much unpleasant feeling, that is, watching movies and arranging something on hand, and I can't feel the existence of the film in a moment. I didn't swear, but I couldn't laugh. In the last paragraph of sincerity, only the sincerity of the apology was seen, and the sincerity of the film was not seen. A movie is a movie, not a speech, a plot!",0.779135
10,"今天冯导在微博大骂影评人，说影评人连潜台词都看不出来。我倒不是影评人，但也是给了评价的，我想对冯导说，您那几个故事潜台词老掉牙了，是人就知道在讽刺、批判，但归根到底，这部电影真没劲。别老诋毁别人的作品不用心票房高口碑好，你的作品用心却评价低。实话告诉你，票房好也是冲着冯氏喜剧去的","Today Feng guide in micro-blog scolded the film critics, saying that the critics can not even see the subtext. I am not a movie critic, but I also gave an evaluation. I want to tell Feng Dao that your subtext is out of date. People know irony and criticism. But in the final analysis, this movie is boring. Do not discredit other people's works without a good reputation of the box office, your work is low in the heart. To tell you the truth, the box office is also directed to the Feng's comedy",0.865991
10,"今天大雪天，本来想说去看部好电影的，对电影本身也有很多期待，可是看了开头的一段无厘头的引子，加上后面毫无故事性可言的垃圾拼凑，真的是失望到不行，全程没有让我发笑的点，而且毫无故事性可言，完全的生搬硬套，冯小刚，果然是长江后浪推前浪，前浪死在沙滩上了，现在对他而言金钱比电影重要，现","Today the snow, I want to say to see a good movie, there are a lot of expectations for the film itself, but saw the beginning of a nonsensical introduction, with no story at all the garbage back together, is really not to despair, no let me laugh, and there is no story at all completely, mechanically, Feng Xiaogang, it is the Yangtze River bring forth the new through the old, the waves die on the beach, now money for him than the film, now",0.735278
10,"今年下半年就没有几部特别好看的","In the second half of this year there won't be a few particularly nice",0.745779
10,"从头到尾没笑过······················","Latoudwin",1
10,"从贪腐，到电影界的现实，到穷富矛盾，到环境问题，冯小刚想讨论中国的现状，每个方面都说一些，还说着一些每个人都听得懂的反话，但观众不买账，因为冯导自己也没想清楚自己想要表达的主旨是什么。观众不需要一个导演重复大家已知的事实。这电影没有讽刺，段子又不好笑，观众怎么会喜欢。","From the corruption to the film industry reality, to rich and poor contradiction to environmental problems, Feng Xiaogang wanted to discuss the status quo of China, each said, also said that everyone can understand the irony, but the audience did not buy it, because Feng Dao did not want to know what is the purpose you want to express. The audience does not need a director to repeat the facts known to all. There is no irony in the film, and the paragraph is not funny, and how the audience likes it.",0.745142
10,"他是真的不搞笑也不好看，三个大部分某个看点寥寥，每段结尾想要升华主题却用了十分生硬的手段，让人觉得很不信服。最后那个环保，某导说是有深意，我也是醉了。","He is really not funny or beautiful. Most of the three most of them are very few, but at the end of each ending, they want to sublime the theme with very stiff means, which makes people feel very unconvinced. At the end of the environment, a guide said it was profound, and I was drunk.",0.892635
10,"以为打的是观众的脸，其实抽的就是自己的脸。连这种片子都有存活的空间，整个产业的生态都畸形到什么地步了，电影圈也太好混了，什么老流氓都能来嫖一嫖。真是难以想象五十年后再写现在这段电影史，得是多丑陋啊。中国真是没法儿呆了我要赶紧学好英语赶紧跑路。","I thought it was the face of the audience, but in fact it was his face. Even this movie has room for survival, and the whole industry's ecosystem is deformed to what extent. The movie circle is too mixed up. What old rascal can go to prostitute? It's hard to imagine how ugly it is to write this film history in fifty years. Chinese really couldn't stay I want to learn English well and quickly run away.",0.870358
10,"低俗","vulgar",1
10,"作为一部喜剧，我全程一次都没有笑过。实际上最可笑的是今天早上冯大导在微博上的发言，他炮轰影评人看不出他电影对现实的讽刺，看不出剧情背后的深意。而现实恰恰相反，正是他那自以为犀利的毫无新意的幼稚讽刺，自以为深刻实则浅薄至极的内涵，才让这部电影成为年度大烂片。","As a comedy, I didn't laugh all the time. In fact, the most ridiculous thing is Feng's speech on micro-blog this morning. He can't see the irony of the movie to the reality, he can't see the meaning behind the story. But the reality is that on the contrary, he thought the sharp corny childish satire, but extremely shallow deep thought connotation, let the film become an annual flop.",0.836451
10,"你们都不入戏，观众怎么入戏？闹呢。每个镜头都能看出演员在一边演戏时一边想着票房。","You don't get into the play. How do the audience get into the play? Let's do it. Every lens can see that the actor is thinking about the box office while acting on the side.",0.718945
10,"俗","custom",1
10,"傻逼","Idiot",1
10,"光看电影院50%多的排片量就知道电影公司和总菊间的腐败，典型的天朝式作风。电影本身已过时，想给负分滚粗！","The more than 50% movies in the cinema know the corruption between the film company and the general chrysanthemum, the typical style of the sky. The film itself is out of date and wants to roll the negative.",0.786051
10,"全场笑得有点沉重，旧瓶装新酒，不怎么高明。值得一看的也只有最后的道歉。还会有多少人这样切肤地体会到土地，水源，空气，对于人类生存和发展的意义。地球母亲还会给我们多少赎罪的机会~~","The whole scene is a little heavy, the old bottle of new wine, not very bright. It is worth seeing only the last apology. How many people will be able to understand the meaning of land, water, air, for the survival and development of human beings. The earth mother will give us the opportunity to redemption.",0.745448
10,"其实范伟那段演的真心不错，郑恺长得真好看，可是后面那些都是些什么狗屎。。。根本不知道要讲什么，牵强附会，最恶心的是那个公益广告。。。","In fact, Wei Fan was really good, Zheng Kaichang had to look good, but those behind them were all shit. Don't know what to say, far fetched, the most disgusting is that advertisement...",0.800522
10,"冯导回家好好治白癜风或者以后专业搞春晚吧别出来拍这种恶心别人的电影儿了","Feng guide home for good treatment of vitiligo or later professional Spring Festival evening do not come out to take this nausea of other people's movies",0.721282
10,"冯导圈钱赚棺材本和腆脸说自己牛逼的良心之作，第二章我都不好意思看。王朔写了仨春晚小品啊这是。人物零厚度，剧情零带入感，逻辑被狗吃。俩老人拼了命跨越n道代沟炒自己冷饭试图逗乐银幕前的年轻人真是不容易。除了失33里的黄小仙再也没有适合白百合浮夸演技的角色了。","Pingdao quanqian make the coffin and shy face said he regressed as the conscience of the second chapter, I feel shy to see. Wang Shuo wrote a three sketch this is ah. The characters are zero thickness, the plot zero leads to the sense, the logic is eaten by the dog. It's not easy for the old people to try to stir up their own cold rice across the N channel and try to amuse the young people in front of the screen. Except for the loss of 33, Huang Xiaoxian is no longer fit for the white lilies.",0.897803
10,"冯导太不用心了，翻拍，老调重弹。冯导自称剩饭入味，临近新年了，剩饭的滋味不好呀！","Feng Daotai is not the intention of the remake, sing the same old song. Feng Dao claimed the leftovers tasty, near the new year, the taste is not good!",0.754718
10,"冯导好意思腆着脸在网上跟网友对喷？贺岁片麻烦给我们来点哈哈哈哈哈哈哈笑尿了的电影，道歉自然请选择世界地球日什么的时候上映行吗？就这种电影来圈圈钱就算了，大新年的能理解，但冯导这么大岁数了还接受不了批评就是这电影的笑点所在。要说这电影有诚意？是快乐家族派来的逗比吧？5.5分刷出来的吧","Pingdao to Tian Zhelian in with friends on the Internet? New year's movie trouble gives us a little hahaha ha ha ha ha ha ha movie, please choose the world day of earth day what time to show it? If this kind of film is a circle of money, it can be understood in the new year, but it is the smile of the film that Feng can not accept criticism for such a big age. Do you want to say that the film is sincere? Is it the rate of amusing from the happy family? 5.5 points out of the bar",0.784828
10,"冯导巨作","Pingdao masterpiece",1
10,"冯导想说的几句话：1.官员其实都是好人，之所以腐败，那是被人民群众给逼的。（WQNMLGB!）2.导演其实都是好人，拍烂片，那是被观众给逼的。（WQNMLGB!）3.我们（指冯导等人）其实还是有人性有良心的。（。。。。。。） 4.不是我们虚伪，换成你，你也会虚伪的。（。。。。。。）","Feng guide would like to say a few words: 1. officials are actually good people, and the reason why it is corrupt is forced by the people. (WQNMLGB!) 2. directors are actually good, bad shot that is, to force the audience. (WQNMLGB!) 3. we still have the conscience of human nature. (.). 4. is not our hypocrisy, for you, you will be hypocritical. (.).",0.860826
10,"冯导江郎才尽","Pingdao jianglangcaijin",1
10,"冯导精力主要放在春晚了，结果2边不讨好","Feng Dao's energy is mainly in the Spring Festival evening, and the 2 sides are not good.",0.720822
10,"冯导这部春晚预告片剪得真好看！要段子有段子要抒情有抒情！年三十晚得锁定央视了！","Feng Dao's Spring Festival Trailer is really nice! The paragraph has a paragraph to lyric and lyric! The thirty night of the year will lock the CCTV!",0.858721
10,"冯小刚","Feng Xiaogang",1
10,"冯小刚傻逼","Idiot Feng Xiaogang",1
10,"冯小刚是在提前预热春晚吗，三段小品加一段朗诵糊弄观众。最后再捡个网上烂透了的笑话结尾，似乎想抖个机灵。时代变了，春晚和不进反退的冯式幽默注定要淘汰出大众的娱乐舞台。","Is Feng Xiaogang preheating the Spring Festival Gala in advance, the three paragraph and the recitation of the audience. Finally, pick up a bad online joke ending, seems to want to shake a clever. The times have changed, and the Spring Festival Gala and the von humour that do not go back and back are doomed to eliminate the entertainment stage of the masses.",0.786479
10,"冯小刚最差作品实至名归，成全自己，恶心观众倒是很贴切。本片就如同一篇散文，让你看下来偶尔还能笑笑，但是仔细一想，什么都记不住。植入广告过多过密也让人蛋疼，小路小白就忙着亮胸器了，葛大爷一脸的不情愿。如果你还喜欢冯导，那么不看本片就是最好的选择，要不你就只有加入吐槽大军的行列了。","Feng Xiaogang is the worst work deserved, for your audience is very apt nausea. This film is like a piece of prose, so you can see it occasionally and laugh, but if you think about it carefully, you can't remember anything. Ads too secret also makes awful, white road was busy is in bud, Ge uncle grudgingly. If you still like Feng guide, it is the best choice to not look at this film, or you will only join the ranks of the army.",0.768473
10,"冯小刚的恶俗","Feng Xiaogang vulgar",1
10,"冯小刚的滥竽充数之作，唯一可看的是第二个讲媚雅导演的故事，看来只有自己深有感触的事，拍出来才能打动人心呐~~即使是这样，他都不能好好地、完整地把第二个故事讲完。看来最近他果然状态不好，还是好好回家养病吧~~","Feng Xiaogang every one, only to see the second tell ya Mei director's story, it seems that only their deep feelings about things, take out can move people ~ ~ even so, he can not make good and complete the second story. It seems that recently he really bad state, or take home to convalesce.",0.730452
