"ranking","Chinese.origin.data","Google.translated.data","Baidu.English.sentiment.analysis.positive.probability.base.on.Google.translated.data."
10,"shuoshenmaasd","shuoshenmaasd",1
10,"wtf?在很奇葩的状况下看完此片~","Wtf? in very wonderful condition to read this film ~",0.717408
10,"一个人造女、一个广告男、一个逼祖奶奶绿茶婊外加一个晚节不保的御用百搭牌，结果打了一手农村重金属出来，想用最戏谑的手法讽刺社会却用了最傻逼的表达方式，搞笑不好好搞，道理不好好讲，煽情不好好煽，道歉不好好道，真想负分滚粗，唯一的一颗星给挖煤的大坑。.豆瓣太不与时俱进了，居然没有负分。","A man-made woman, an advertising man, a forced ancestral grandmother green tea bitch plus a night without the Royal wild wild card, the result hit the hands of rural heavy metals out, want to use the most teasing way of satirical use of the most silly expression, Funny not good to engage in, the truth is not good to say, sensational not good fan, apologize bad Road, really want to negative points thick, the only one star to dig coal pit. The watercress is too young to keep up with the times, actually does not have the negative score.",0.83191
10,"一开始在序幕的时候看到王朔的名字还是挺抱希望的，结果还是被剧情郁闷到了，没有任何意义的私人定制，宋丹丹那段莫名其妙的煽情，以及故事想反讽社会现状却又变得乱七八糟的还有最后那段道歉。。整部剧看着就像是一锅乱炖的菜，杂七杂八全部丢在一块，说笑点吧，其实还真没什么笑点，失望","At the beginning of the prelude to see Wang Shuo's name or embrace hope, the result was depressing plot, no sense of personal custom, Song Dandan inexplicable during that period of sensationalism, and the story would like to iron up the social situation but has become messy And last apology. . The whole play looks like a pot of stewed dishes, miscellaneous all lost in one, joking point, in fact, no reason to laugh, disappointment",0.750925
10,"一开始是点很奇怪的搞笑片，后来变成了煽情做作的大自然纪录片。。不过和girl们看烂片还对很欢乐～而且一想到明天又能吃妞妞薯条，幸福感就爆棚啦～","The beginning is a little funny film, and later became a sensational natural documentary. . But the girl is also very happy to see the bad film ~ and think of tomorrow can eat nianjian fries, bliss on happiness it ~",0.827715
10,"一星给宋丹丹，最后那里演的真好~~","A star to Song Dandan, where the final play nice ~ ~",0.79459
10,"三句话能讲完的道理一定要拍俩小时的电影还讲不清 从头到尾都是广告 小到饮料 大到房地产 一星给王铮亮的时间都去哪儿了 这部电影毁了这首好歌 好忧伤","Three words can finish the truth must take two hours of film also can not tell from start to finish are ad small to big beverage to real estate star to Wang Zhengliang where the time went to the movie ruined this good song So sad",0.717839
10,"下半场如坐针毡，那些号称看出情怀，解读各种深意的，赶紧绝交吧。按这种思路，任何电影都能加个公益结尾，施瓦辛格搞定恐怖分子后，来个宣传防艾，霍比特人融了魔戒后来个拯救文化遗产，地心引力末尾普及保护臭氧层，阿凡达后面加上节约地球资源，太他妈深刻了！蠢货导演们，戏就该这么拍，学着点！","The second half, such as pins and needles, those who claim to see the feelings, interpretation of all kinds of profound meaning, and quickly perfect it. According to this idea, any movie can add a commonweal end, Schwarzenegger to get terrorists, to publicize anti-AIDS, the Hobbit melted the ring of the Lord to save a cultural heritage, the end of universal gravity to protect the ozone layer, Avatar with the earth behind saving resources, too fucking profound! Stupid directors, the film should be shot, learn something!",0.79616
10,"不伦不类","nondescript",1
10,"不伦不类、笑点全无、结构无新意，这么烂的剧本也拍出来了，感觉冯小刚就是为1942泄愤的：我好好拍个片子你们观众不买账，我就故意拍个票房大卖的烂片，成全观众恶心自己。殊不知烂过头把观众也恶心了，浪费了葛大爷等一众好演员。。。","Neither fish nor fowl, no jokes, no new structure, such a bad script is also shot out, I feel Feng Xiaogang is the 1942 vent their anger: I took a good shot of the audience do not buy it, I deliberately made a box office selling bad film, Complete audience nausea. Everyone knows too rotten the audience disgusting, a waste of Ge uncle and other good actors. . .",0.759713
10,"不值得看啊~","Not worth seeing ~",0.714157
10,"不公平啊，老美过节看霍比特人，我们就只能看这种东西啊。你可以说老美的东西空洞模式化只有视觉冲击力，但是至少人家用心做了。中国的这种电影几乎什么都没有，也好意思拿出来骗钱？冯导真应该留着这片在春节晚会时段再播一遍，让我们把年夜饭都吐出来。我想看霍比特人。。。为什么不同步。。。为什么","It is unfair, we see only this kind of thing, because the Old Americans look at the hobbit. You can say that there is only a visual impact of the old-fashioned thing-and-forget mode, but at least people are diligent about it. There is almost nothing in this kind of movie in China. Feng Yingzhen should keep this piece in the Spring Festival evening broadcast time again, let us spit it all out. I want to see the hobbit. . . Why not sync. . . why",0.781983
10,"不好好琢磨怎么拍好电影，只顾上烂片赚俏皮钱，观众不是傻子，能分出好坏，只想说好自为之吧","Not good pondering how to make a good movie, only take into account the bad money to make cute money, the audience is not a fool, can be divided into good or bad, just want to say it for yourself",0.849596
10,"不好意思，笑点及其无聊，想表达的东西是好的可是呈现的方式太烂，就像你有拯救世界的英雄心却没有超人的英雄身一样，牵强的很，让我无数次无聊的冷笑，除了宋丹丹那个我有点小感动，其他的真没啥，一直都在玩手机，估计是本电影所达到的境界是我等俗人无法抵达和理解的","Sorry, grin and boring, what I want to express is good, but the way it is presented is too bad, just as you have a hero who saves the world but no superhero hero, which makes me immensely boring Sneer, except Song Dandan that I am a little touched, the other really nothing, always playing mobile phone, it is estimated that the realm of the movie is that I and other lay people can not reach and understand",0.770788
10,"不好看","Not good-looking",1
10,"不好看 莫名其妙 最后环保那段更是无聊","Not good to see somehow the last part of the environment is boring",0.715189
10,"不好看，我就是煤老板，他们一点没顾及我们这些人的尊严，日他妈现在这年头让个煤矿场给你冯小刚做东家，你怕你又舍得不挖？谁不想要钱，你们说是不嘛！！污染环境的问题又不是说我们守规矩人家就一定守规矩，如果说这都是我们的错，那好像当年你们烧煤的时候是我逼的咯！妈的如果老子穷疯病痛饿死在路","Do not look good, I was the boss of coal, they did not take into account the dignity of our people, the day his mother made a coal mine this year to Feng Xiaogang to do your home, you are afraid you are reluctant to dig? Who do not want money, you say yes or no! ! Pollution of the environment is not to say that we behave in accordance with the rules, if this is our fault, it seems that when you burn coal when I forced slightly! Mom, if I'm mad and starved to death on the road",0.803089
10,"不好看~","Do not look good ~",0.801113
10,"不接地气","Not grounded",1
10,"不是坐四个半小时的飞机还真看不了这大烂片，不过李小璐还是挺好看的","Not take four and a half hours of plane can not really see this large film, but Li Xiaolu is still very nice",0.780838
10,"不真诚，高高在上。冯小刚带着1942票房失利的拧巴，炮制一个自己高高在上的段子秀。连个故事都算不上。一个自认作品牛逼哄哄，观众没品才不会去欣赏的导演。你还是去画画吧，真的！","Not sincere, high above. Feng Xiaogang with 1942 at the box office defeat screwed Pakistan, concocted a high above the Duan Xiu. Not even a story. A piece of self-proclaimed works Niubihonghong, the audience would not appreciate the director no products. You still go to draw it, really!",0.709252
10,"不知所云","Unconscious",1
10,"不知所云，转折突兀","Unconscious, turning abrupt",1
10,"不知所云。","Unconscious",1
10,"不知所云~","Unknown ~",0.734991
10,"不知所谓","Ridiculous",1
10,"不知道是我们看电影品味高了还是 冯导的水平降了。像海豚湾、中国合伙人，疯狂石头这类电影。看完在心里有些心酸感动。像指环王、阿凡达、少年派，看后是视觉盛宴。  .冯导对术的追求有些走火入魔了，却忘了电影的道。 有道无术，术尚可求，有术无道，至于术。 看来人的能力就是逆水行舟，不进则退。","I do not know if we are watching the film taste or the level of Feng guide down. Dolphin Bay, China partner, Crazy Stone, such films. After reading some sad in the heart moved. Like the Lord of the Rings, Avatar, Junior School, after watching is a visual feast. Feng led some of the pursuit of magic, but forgot the movie Road. Youdao no surgery, surgery is still seeking, there is no surgery, as surgery. It seems that people's ability is against the current boat, do not go back.",0.833128
10,"不能打零分吗？感觉打一分都是对小时代的极度不尊重。本来我已经是个对电影没有底线的人了，什么都能看，很好，这部电影总算让我发现了自己的底线，同时，我的节操也碎在底线上了","Can not hit zero? Feeling hit points are extremely underestimated age. I was already a film who did not have the bottom line, and can see everything, very good, this movie finally let me find my bottom line, at the same time, my knuckles are also broken in the bottom line",0.788871
10,"不要抱有太高期望的人去看觉得挺不错的，休闲乐趣","Do not have people with too high expectations to see that very good, casual fun",0.770296
10,"不论这片子好坏，单凭冯小刚的态度就给零分。记得冯在一次颁奖晚会中说道：好好弄了一个1942部挣钱，随随便便弄个私人订制就赚钱。就凭他对观众的哄弄就给零分","Whether the film is good or bad, Feng Xiaogang's attitude alone gives zero points. I remember von at an awards show, said: get a good 1942 earn money, casually get a personal subscription to make money. With him on the audience to give zero zero",0.837363
10,"两个字，恶俗，形容完了这部电影的观后感，看完以后感觉像不小心吃了个烂橘子，吃的时候并没有太多不适的感觉，但是回味一下觉得立意太低有点俗不耐。。。虽然是讽刺的口吻但是编剧对于官腔，色诱和土豪的描摹还是让人觉得很无趣，最后一部分突然冒出来的长段良心发现的环保的诗朗诵显得极其格格不入。","Two words, vulgar, described the end of this film after feeling, after reading feel like accidentally eating a rotten orange, eat when not feeling too much discomfort, but the aftertaste that the conception is too low a bit vulgar Resistance. . . Although satirical tone, the screenwriter's comments on the bureaucratic, seductive and local princes are boring, and the epic poem recorded by the last part of the sudden constellation of conscience appears extremely out of tune.",0.754331
10,"中国影坛不要过分消费观众的信任！要俗要赤裸的求票房当真小人大家没异议，不过开头那多出来五分钟臭脚步一样的广告，算在电影时长里就极其过分，让人不禁有砸电影屏幕的冲动！幼稚无聊的剧情，单薄的人物塑造，蹩脚的环保感情诉求让人觉得虚伪又突兀！冯导这是要拿宇宙最俗奖啊！","Chinese film do not over-consume audience's trust! Vulgar to see the box office really small villain everyone no objection, but at the beginning that out five minutes more stinky ads, count in the movie time is extremely excessive, people can not help but have the impulse to hit the movie screen! Childish boring plot, thin character, crappy environmental appeal makes people feel hypocritical! Feng guide this is to get the most vulgar prize in the universe ah!",0.73452
10,"中间我睡着了将近一个多小时，直接导致脖子落枕。fuck！今年看过最烂电影没有之一。相比之下，四娘简直业界良心。起码人家全片无尿点，靠弹屏吐槽足以撑够120分钟。护舒宝炒冷饭功力实在见长，片尾的配乐诗朗诵珍是吓死人惹！","In the middle I fell asleep for more than an hour, leading directly to the neck stiff neck. fuck! I've seen one of the worst movies this year. In contrast, Si Niang is the industry conscience. At least people have no point on the whole film, spit enough to hold enough elastic 120 minutes. Shu Shu Bao fried cold meal skill is good, ending music poem recitation Jane is scared to death!",0.835558
10,"乏善可陈的老笑料，甚至连段子都称不上，要不是靠着那几个有喜剧观众缘的演员拼尽全力靠自身表演为那点可怜的台词加分，更没法看。两个小时的长度太考验忍耐力。虽然本来也没抱太大希望，但是也没想到居然如！此！难！看！","Lack of good old joke, and even the pieces can not be called, or by relying on a few comedy audience actor do their utmost to rely on their performance for that poor speech points, but can not see. The length of two hours is too endurance test. Although originally did not hold much hope, but did not expect actually! this! difficult! Look!",0.788195
10,"乱","Chaos",1
10,"乱七八糟","Messy",1
10,"乱七八糟不知所云","Messy unintelligible",1
10,"乱拼乱凑 雅俗的那一截虚幻得很莫名其妙 最后道歉那段也乱入 又加入环保。小刚是想做鲁迅一样的斗士么 反映这么多事情  可惜不知道自己有多大的腚，裤衩不合身啊。外国的好导演是会讲故事，这个片子的导演是在扯故事，让观众入不了戏，自顾自的表演。","Unrequited elegance and satire that section of the Unreal is very baffling Finally apologized that period of chaos and joined the environment. Xiaogang Lu Xun who want to do the same fighter reflect so many things Unfortunately, do not know how much I have, pants ah do not fit. Good foreign director is to tell the story, the film's director is telling the story, so that the audience can not enter the play, self-serving performance.",0.714669
10,"今天大雪天，本来想说去看部好电影的，对电影本身也有很多期待，可是看了开头的一段无厘头的引子，加上后面毫无故事性可言的垃圾拼凑，真的是失望到不行，全程没有让我发笑的点，而且毫无故事性可言，完全的生搬硬套，冯小刚，果然是长江后浪推前浪，前浪死在沙滩上了，现在对他而言金钱比电影重要，现","Today, on a snowy day, I wanted to say that I had a good movie. I also had many expectations of the movie itself. However, having read the beginning of a nonsensical introductory phrase and adding rubbish behind the story, it was really disappointing. , The whole point did not make me laugh, and no story at all, completely mechanically, Feng Xiaogang, it really is the Yangtze River waves before the waves, before the waves die on the beach, and now for him the money is more important than the movie, and now",0.857867
10,"从来没指望冯小刚高雅，但至少他要搞笑，或者搞笑也可以是次要的，只要他好看，看私人定制说实话，我要说一次都没笑，那是亏心，不过整体而言，的确是不搞笑又不知所云，如果一部片子是王家卫拍的，大家看不懂，那是有深度，如果一部片子是冯小刚拍的，大家还看不懂，那冯小刚就不要继续拍电影了……","Feng Xiaogang has never been expected elegant, but at least he wants to be funny, or funny can be secondary, as long as he looks good, to see private custom to be honest, I would say no laugh at all, it is unfair, but overall, indeed If you are not funny and you know nothing about it, if one film is shot by Wong Kar-wai, we do not understand it. If there is depth, if a film is made by Feng Xiaogang, we still can not understand it. ...",0.709419
10,"从私人订制 到 春晚  冯小刚可能已经得到了自己想要的东西 同样的也会失去一些东西 就像当年说的 人心散了 队伍不好带呀 这也反映了中国电影圈的现状 自己是牛逼的 群众是钱多人傻 冯导人自己都总结了呀 恶心别人 成全自己！","From a private subscription to the Spring Festival Evening, Feng Xiaogang may have got what they want, will also lose some of the same things that year, said the people scattered team is not good with ah This also reflects the status quo of China's film itself is Niubi The people are silly money Feng people guide themselves are summed up disgusting others make their own!",0.766058
10,"从贪腐，到电影界的现实，到穷富矛盾，到环境问题，冯小刚想讨论中国的现状，每个方面都说一些，还说着一些每个人都听得懂的反话，但观众不买账，因为冯导自己也没想清楚自己想要表达的主旨是什么。观众不需要一个导演重复大家已知的事实。这电影没有讽刺，段子又不好笑，观众怎么会喜欢。","From corruption to the reality of film industry, to the contradictions between rich and poor and to environmental issues, Feng Xiaogang would like to discuss the status quo in China, saying in every respect and saying some anti-talk that everyone can understand but the audience does not buy it , Because Feng himself did not want to know what you want to express the main theme. The audience does not need a director to repeat the fact that everyone knows. This movie is not ironic, the segment is not funny, how the audience will like it.",0.782873
10,"他是真的不搞笑也不好看，三个大部分某个看点寥寥，每段结尾想要升华主题却用了十分生硬的手段，让人觉得很不信服。最后那个环保，某导说是有深意，我也是醉了。","He is really not funny nor good-looking, most of the three aspirations of a few, the end of each section you want to sublimate the subject has used a very blunt means people feel very convinced. Finally, the environmental protection, a guide is profound, I am also drunk.",0.719966
10,"以后可不能让小孩碰文艺啊~","After the children can not touch the arts ah ~",0.714858
10,"以毛泽东思想，邓小平理论，三个代表，科学发展观为指导，踏踏实实走群众路线的新闻联播里插播的公益广告。———花了七十块看七点整的表示感觉自己得了雅过敏且满耳朵响着伤不起的一俗人的评论","Guided by Mao Zedong Thought, Deng Xiaoping Theory, the Three Represents, and the Scientific Outlook on Development, public service announcements broadcast through the news network that take the mass line down. --- Spent 70 to see the whole seven o'clock that they feel allergic and full of ears can not afford a vulgar comment",0.737831
10,"低俗","Vulgar",1
10,"低俗喜剧，后悔看了","Vulgar comedy, regretful read",1
10,"作为一个电影人，冯岛自己拍的这部影片就可以获得宇宙最俗了。还说什么电影不是艺术。 电影都象这样拍当然不算艺术了，只能说是大荧幕上的小品。 本来以为只是国内的观众对冯导期望高，所以出来骂声一片，现在看来是导演自己在糊弄观众，难怪观众骂","As a moviegoer, Feng Shima self-made this movie can get the most vulgar universe. Also said that the film is not art. Of course, the film is not art like this, and can only be described as a big screen on the sketch. Originally thought it was only the domestic audience expectations of Feng guide high, so come out abusive one, and now it seems the director himself fooling the audience, no wonder the audience curse",0.742858
10,"作为一部喜剧，我全程一次都没有笑过。实际上最可笑的是今天早上冯大导在微博上的发言，他炮轰影评人看不出他电影对现实的讽刺，看不出剧情背后的深意。而现实恰恰相反，正是他那自以为犀利的毫无新意的幼稚讽刺，自以为深刻实则浅薄至极的内涵，才让这部电影成为年度大烂片。","As a comedy, I never laughed once. In fact, the most ridiculous thing is the speech made by Feng Dagui on Weibo this morning. When he criticizes film critics, he can not see the satire on the reality of his film and can not see the profound meaning behind the story. In reality, on the contrary, it is exactly his naive satire that he does not have any new ideas. He thinks that this film has become an annual movie with a superficial meaning.",0.732709
10,"俗","Vulgar",1
10,"俗不可耐","Vulgar",1
10,"傻屌，缝小肛","Stupid, sew anal",1
10,"傻逼","Sucker",1
10,"元宵节时朋友提出一起看，我全程没笑。冯导抱歉，我真不知道这电影好在哪。跟北京的雾霾天道歉时，我真就呵呵了。","Lantern Festival friends put together to see, I did not laugh all the way. Feng guide sorry, I really do not know where the movie is good. When I apologize with the smog days in Beijing, I really hate it.",0.79835
10,"光看电影院50%多的排片量就知道电影公司和总菊间的腐败，典型的天朝式作风。电影本身已过时，想给负分滚粗！","Just look at the cinema more than 50% of the film set to know the movie company and the total Chrysanthemum between the corruption, the typical style of the dynastic. The movie itself is out of date, want to give the negative points thick!",0.776414
10,"全场笑得有点沉重，旧瓶装新酒，不怎么高明。值得一看的也只有最后的道歉。还会有多少人这样切肤地体会到土地，水源，空气，对于人类生存和发展的意义。地球母亲还会给我们多少赎罪的机会~~","The audience laugh a little heavy, old wine bottles, not very smart. Worth to see only the last apology. How many people will understand the significance of land, water and air for human survival and development in such a natural way. Earth Mother will give us a few chance of redemption ~ ~",0.818483
10,"全片就笑一下，葛优说李小璐的衣服扒都扒不下来，就那一次，两个多小时，和西游降魔里那句我tm还能去哪一样，笑一次，我的笑点可能真的奇怪，这电影帮宋丹丹那个时候非要挤出泪点，那个歌词真心好，和父母有关的屡试不爽，好了，电影华丽丽有笑有泪了","Laugh about the whole film, Ge said that Li Xiaolu's clothes Pa Pa not down, that time, more than two hours, and Journey to the West in the sentence I tm can go, laugh once, my jokes may really Strange, this film to help Song Dandan squeeze punctuation at that time, the lyrics really good, and parents of the time-tested, well, the film gorgeous laughed and laughed",0.827566
10,"全篇没亮点，没高潮，一颗星给宋丹丹。电影票20块，突然觉得好浪费，应该买俩包子吃~~~~","The whole did not highlight, no climax, a star to Song Dandan. Movie tickets 20, suddenly felt good waste, should buy two buns to eat ~ ~ ~ ~",0.744401
10,"其实范伟那段演的真心不错，郑恺长得真好看，可是后面那些都是些什么狗屎。。。根本不知道要讲什么，牵强附会，最恶心的是那个公益广告。。。","In fact, Fan Wei that performed really good, Zheng Kai looks really good, but what are those behind what shit. . . Do not know what to say, far-fetched, the most disgusting is that public service ads. . .",0.763607
10,"再见，冯氏喜剧~","Goodbye, Feng comedy ~",0.716007
10,"冯导你把电影票钱还给我好吗好吗好吗","Feng guide you to give me the movie vote money ok ok ok okay",0.772336
10,"冯导圈钱赚棺材本和腆脸说自己牛逼的良心之作，第二章我都不好意思看。王朔写了仨春晚小品啊这是。人物零厚度，剧情零带入感，逻辑被狗吃。俩老人拼了命跨越n道代沟炒自己冷饭试图逗乐银幕前的年轻人真是不容易。除了失33里的黄小仙再也没有适合白百合浮夸演技的角色了。","Feng guide money to make the coffin money and this face to say that their own conscience for the Niubi, the second chapter I am sorry to think. Wang Shuo wrote Hunchun evening essay ah this is. Zero thickness of the characters, the story of a zero sense, the logic is dog eat. It is not easy for both old people to cross the n-dai ditch to try their own young people trying to entertain the screen. In addition to losing 33 in Huang Xiao Xian no longer suitable for the role of white lily pompous acting.",0.76679
10,"冯导好意思腆着脸在网上跟网友对喷？贺岁片麻烦给我们来点哈哈哈哈哈哈哈笑尿了的电影，道歉自然请选择世界地球日什么的时候上映行吗？就这种电影来圈圈钱就算了，大新年的能理解，但冯导这么大岁数了还接受不了批评就是这电影的笑点所在。要说这电影有诚意？是快乐家族派来的逗比吧？5.5分刷出来的吧","Feng Guowang good intention with his face on the Internet spray with friends? New Year's film trouble to us to point ha ha ha ha ha ha ha laugh at the film, apologize naturally please choose Earth Day what time release? Even if this film to circle money, the New Year can understand, but Feng was such a big age can not accept the criticism is where the film's joke. To say that the movie has sincerity? Happy family is sent than funny? 5.5 points out of brush it",0.820106
10,"冯导想说的几句话：1.官员其实都是好人，之所以腐败，那是被人民群众给逼的。（WQNMLGB!）2.导演其实都是好人，拍烂片，那是被观众给逼的。（WQNMLGB!）3.我们（指冯导等人）其实还是有人性有良心的。（。。。。。。） 4.不是我们虚伪，换成你，你也会虚伪的。（。。。。。。）","Feng cited a few words: 1. Officials are in fact good people, the reason for corruption, it is forced by the people. (WQNMLGB!) 2. Director is actually a good man, filming films, it is forced by the audience. (WQNMLGB!) 3. We (referring to Feng guide, etc.) In fact, there are still human nature conscience. (...) 4. Not our hypocrisy, into you, you will be hypocritical. (...)",0.863075
10,"冯导这部春晚预告片剪得真好看！要段子有段子要抒情有抒情！年三十晚得锁定央视了！","Feng guide this spring preview trailer cut really nice! Want to have a paragraph to lyrical lyric! Thirty nights got locked CCTV!",0.778178
10,"冯小刚","Feng Xiaogang",1
10,"冯小刚你丫别让中国百姓为你的装逼行为买单好不好。也就免费不要钱才能看的工艺片的主，去你丫大爷","Feng Xiaogang, you do not let the Chinese people pay for your action loading good or not. Also free of charge to see the master of the film, go to you Ya uncle",0.770351
10,"冯小刚傻逼","Feng Xiaogang sucker",1
10,"冯小刚力竭","Feng Xiaogang exhausted",1
10,"冯小刚和王朔都老了失去了年轻时那种接地气的真诚 讽刺不犀利什么问题都想讨论结果欲言又止还带着中庸洗地之道 告诉你：任命吧有钱人贪官也不容易 已经不知道年轻人喜欢什么了 几个角色根本不出彩 到最后俩故事断断续续拖了两天才看完 因为恶评如潮抱着不会那么渣吧的心理去看 结果还是出乎预料的渣","Feng Xiaogang and Wang Shuo are old lost the kind of grounding when the young earth sincerely satirical What questions want to discuss the results unspoken but also with a moderate wash the ground to tell you: appointment of the rich Corrupt officials is not easy already I do not know what young people like a few characters did not color to the last two stories intermittent dragged two days to read because of bad reviews raging clinging to the bar then the psychological look to the results or unexpected slag",0.722988
10,"冯小刚垃圾","Feng Xiaogang trash",1
10,"冯小刚完了","Feng Xiaogang finished",1
10,"冯小刚式喜剧，真心一般","Feng Xiaogang comedy, sincere",1
10,"冯小刚最差作品实至名归，成全自己，恶心观众倒是很贴切。本片就如同一篇散文，让你看下来偶尔还能笑笑，但是仔细一想，什么都记不住。植入广告过多过密也让人蛋疼，小路小白就忙着亮胸器了，葛大爷一脸的不情愿。如果你还喜欢冯导，那么不看本片就是最好的选择，要不你就只有加入吐槽大军的行列了。","Feng Xiaogang worst work deserved, fulfill their own, disgusting audience is very appropriate. The film is like an essay, let you look down occasionally laugh, but think carefully, can not remember anything. Implanted too much too much admiration also make egg pain, small white path busy chest, Ge uncle look of reluctance. If you still like Feng guide, then do not look at the film is the best choice, or else you only joined the ranks of Tucao army.",0.707482
10,"冯小刚的恶俗","Feng Xiaogang vulgar",1
10,"冯小刚的滥竽充数之作，唯一可看的是第二个讲媚雅导演的故事，看来只有自己深有感触的事，拍出来才能打动人心呐~~即使是这样，他都不能好好地、完整地把第二个故事讲完。看来最近他果然状态不好，还是好好回家养病吧~~","Feng Xiaogang's excuse for the full, the only thing that can be seen is the second talk about Meiya director's story, it seems that only their own deep feelings, beat it to shoot the hearts of people na ~ ~ Even then, he can not be well, complete Finish the second story. It seems that he really is not in a good state recently, or a good home to recuperate it ~ ~",0.960463
10,"冯小刚的脑子大概被驴给踢了吧。就算你跟你电影那个导儿一样拍得再烂再俗也不会有人买账的。真以为观众跟你电影里那些人一样不明是非不辨俗雅么，我算是看出来了，这是在嘲笑你的衣食父母们啊！哈哈，傻逼，如果有半个星的评价，我一定不给一颗星","Feng Xiaogang's mind probably donkey to play it. Even if you are the same as your movie director, then no one will buy it. Really think that the audience with those people in your movie is not clear whether it is indiscriminate and elegant, I can see it, this is ridiculed your food and clothing parents ah! Haha, silly, if there is a half-star rating, I will not give a star",0.711972
10,"冯小刚老了，这片子放20多年前应该是部好片，但时代不同了。电影的世界观还停留在冷战时代，非黑即白，非俗即雅，非穷即富，充满了极端主义，而这种思想正是那个信息匮乏的年代才特有的。这片子不受欢迎是正常的。看这片子有点时空错乱。","Feng Xiaogang old, this film should be a good piece more than 20 years ago, but the times are different. The world view of the movie is still stuck in the cold war era. Non-black and white, non-vulgar and elegant, non-inferior and rich are full of extremism, which is unique to the era of lack of information. It's normal for this film to be unwelcome. Look at this film a little time and space disorder.",0.891643
10,"冯小刚这是要自毁前程的节奏么，电影也要创新，搞几个生硬的段子就想搞定观众么，炒自己的陈年冷饭也得好好的炒啊。冯小刚有点越来越不接地气了，电影中那个导演很像是在讽刺他自己","Feng Xiaogang What is the future rhythm of self-destructive what, the film also innovation, engage in a few blunt piece want to get the audience Mody, fried their own fried rice have to be good speculation ah. Feng Xiaogang a little more and more groundless, and the director in the movie is very much like satirizing himself",0.83869
10,"冯的心态应该是既然我拍贺岁片那么好赚钱，那就拍吧，不赚白不赚。大家似乎都上当了，看完了拼了命的吐槽，不正中了冯的下怀吗，他没准儿正一边看着评论一边哈哈大笑呢，现实完全就是他电影的翻版，电影里的各种明喻暗喻其实在电影结束以后都真的应验了，和他当初的想法没准不差分毫。","Feng's mentality should be since I shoot New Year film so good to make money, then shoot it, do not earn no white. Everyone seems to be fooled, finished spit Tucao, not in the heart of von it, maybe he was looking at comments while laughing, the reality is completely a replica of his film, the film's various similes In fact, the metaphor is actually fulfilled after the end of the movie, and his original idea may not be no difference.",0.756706
